english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
Do not download the ARM version, and do not take an older usbip release: below 0.9.8.0 the device blue-screens while the virtual controller runs.	Nicht die ARM-Version und keine ältere usbip-Version nehmen: unter 0.9.8.0 stürzt das Gerät mit Bluescreen ab, sobald der virtuelle Controller läuft.	Ne téléchargez pas la version ARM ni une version usbip plus ancienne : sous 0.9.8.0 l'appareil plante en écran bleu dès que la manette virtuelle tourne.	ARM 버전이나 이전 usbip 릴리스를 받지 마세요: 0.9.8.0 미만에서는 가상 컨트롤러 실행 중 블루스크린이 발생합니다.	No descargues la versión ARM ni una versión anterior de usbip: por debajo de 0.9.8.0 el equipo da pantalla azul mientras corre el mando virtual.					Non scaricare la versione ARM né una release usbip più vecchia: sotto la 0.9.8.0 il dispositivo va in schermata blu mentre il controller virtuale è attivo.	Não baixe a versão ARM nem uma release mais antiga do usbip: abaixo de 0.9.8.0 o dispositivo dá tela azul enquanto o controle virtual roda.		Nie pobieraj wersji ARM ani starszego wydania usbip: poniżej 0.9.8.0 urządzenie pokazuje niebieski ekran, gdy działa wirtualny kontroler.
Applies the per-game FPS cap and draws the on-screen display.	Setzt das FPS-Limit pro Spiel um und zeichnet das On-Screen-Display.	Applique la limite de FPS par jeu et dessine l'affichage à l'écran.	게임별 FPS 제한을 적용하고 온스크린 디스플레이를 그립니다.	Aplica el límite de FPS por juego y dibuja el OSD.					Applica il limite FPS per gioco e disegna l'overlay.	Aplica o limite de FPS por jogo e desenha o overlay na tela.		Stosuje limit FPS per gra i rysuje nakładkę ekranową.
Take RivaTuner Statistics Server.	Nimm RivaTuner Statistics Server.	Prenez RivaTuner Statistics Server.	RivaTuner Statistics Server를 받으세요.	Toma RivaTuner Statistics Server.					Prendi RivaTuner Statistics Server.	Pegue o RivaTuner Statistics Server.		Weź RivaTuner Statistics Server.
Reads the CPU sensors ClawTweaks shows in the widget.	Liest die CPU-Sensoren, die ClawTweaks im Widget anzeigt.	Lit les capteurs CPU que ClawTweaks affiche dans le widget.	ClawTweaks가 위젯에 표시하는 CPU 센서를 읽습니다.	Lee los sensores de CPU que ClawTweaks muestra en el widget.					Legge i sensori CPU che ClawTweaks mostra nel widget.	Lê os sensores da CPU que o ClawTweaks mostra no widget.		Odczytuje czujniki CPU, które ClawTweaks pokazuje w widżecie.
Take PawnIO Setup.	Nimm PawnIO Setup.	Prenez PawnIO Setup.	PawnIO Setup을 받으세요.	Toma PawnIO Setup.					Prendi PawnIO Setup.	Pegue o PawnIO Setup.		Weź PawnIO Setup.
This ClawTweaks Center build is outdated. Please download the latest build.	Dieser ClawTweaks-Center-Build ist veraltet. Bitte lade den neuesten Build herunter.	Cette version de ClawTweaks Center est obsolète. Téléchargez la dernière version.	이 ClawTweaks Center 빌드는 오래되었습니다. 최신 빌드를 내려받으세요.	Esta versión de ClawTweaks Center está desactualizada. Descarga la última.					Questa build di ClawTweaks Center è obsoleta. Scarica la build più recente.	Este build do ClawTweaks Center está desatualizado. Baixe o build mais recente.		Ta wersja ClawTweaks Center jest nieaktualna. Pobierz najnowszą wersję.
{0} (running {1}, needs {2}+)	{0} (läuft {1}, braucht {2}+)	{0} (en cours {1}, requis {2}+)	{0} (실행 중 {1}, 필요 {2}+)	{0} (en uso {1}, necesita {2}+)					{0} (in uso {1}, serve {2}+)	{0} (em uso {1}, precisa de {2}+)		{0} (masz {1}, wymaga {2}+)
Test build	Testbuild	Build de test	테스트 빌드	Build de prueba					Build di test	Build de teste		Wersja testowa
Release		Version	정식 버전	Versión								Wydanie
Nightly			나이틀리									
BROKEN: leftover registry entries but no driver binary — reinstall and reboot	DEFEKT: Registry-Reste ohne Treiberdatei — neu installieren und neu starten	CASSÉ : restes de registre sans binaire de pilote — réinstallez et redémarrez	손상됨: 레지스트리 항목만 남고 드라이버 파일이 없습니다 — 다시 설치하고 재부팅하세요	ROTO: quedan entradas de registro sin binario del controlador — reinstala y reinicia					GUASTO: voci di registro residue ma nessun binario del driver — reinstalla e riavvia	QUEBRADO: restos no registro, mas sem o binário do driver — reinstale e reinicie		USZKODZONE: resztki w rejestrze, ale brak pliku sterownika — zainstaluj ponownie i zrestartuj
BROKEN: usbip's files are installed but its driver is not registered — the installer's driver step (devnode.exe) failed. The usual cause is the -arm64 download, which the release page lists above the x64 one. Uninstall usbip, re-run the installer whose name ends in -x64.exe, and reboot.	DEFEKT: usbips Dateien sind installiert, aber der Treiber ist nicht registriert — der Treiberschritt des Installers (devnode.exe) ist fehlgeschlagen. Übliche Ursache ist der -arm64-Download, den die Release-Seite über dem x64 listet. usbip deinstallieren, den Installer mit -x64.exe am Ende erneut ausführen und neu starten.	CASSÉ : les fichiers d'usbip sont installés mais son pilote n'est pas enregistré — l'étape pilote de l'installateur (devnode.exe) a échoué. La cause habituelle est le téléchargement -arm64, listé au-dessus du x64 sur la page de release. Désinstallez usbip, relancez l'installateur dont le nom finit par -x64.exe, puis redémarrez.	손상됨: usbip 파일은 설치되었지만 드라이버가 등록되지 않았습니다 — 설치 프로그램의 드라이버 단계(devnode.exe)가 실패했습니다. 흔한 원인은 릴리스 페이지에서 x64 위에 표시되는 -arm64 다운로드입니다. usbip을 제거하고 이름이 -x64.exe로 끝나는 설치 프로그램을 다시 실행한 뒤 재부팅하세요.	ROTO: los archivos de usbip están instalados pero su controlador no está registrado — el paso del controlador del instalador (devnode.exe) falló. La causa habitual es la descarga -arm64, que la página de release lista encima de la x64. Desinstala usbip, vuelve a ejecutar el instalador cuyo nombre termina en -x64.exe y reinicia.					GUASTO: i file di usbip sono installati ma il driver non è registrato — il passo driver dell'installer (devnode.exe) è fallito. La causa abituale è il download -arm64, che la pagina di release elenca sopra quello x64. Disinstalla usbip, riesegui l'installer il cui nome finisce in -x64.exe e riavvia.	QUEBRADO: os arquivos do usbip estão instalados, mas o driver não está registrado — a etapa de driver do instalador (devnode.exe) falhou. A causa comum é o download -arm64, que a página de release lista acima do x64. Desinstale o usbip, execute de novo o instalador cujo nome termina em -x64.exe e reinicie.		USZKODZONE: pliki usbip są zainstalowane, ale sterownik nie jest zarejestrowany — krok sterownika instalatora (devnode.exe) nie powiódł się. Zwykła przyczyna to pobranie -arm64, które strona wydań pokazuje nad x64. Odinstaluj usbip, uruchom ponownie instalator o nazwie kończącej się na -x64.exe i zrestartuj.
UNSUPPORTED VERSION: usbip {0} is installed, ClawTweaks needs {1}. Older versions crash the device with a blue screen while the virtual controller is running, so ClawTweaks will not start it. Run the ClawTweaks setup, or install {1} from the link on this page, and reboot.	NICHT UNTERSTÜTZTE VERSION: usbip {0} ist installiert, ClawTweaks braucht {1}. Ältere Versionen stürzen mit Bluescreen ab, solange der virtuelle Controller läuft, deshalb startet ClawTweaks ihn nicht. Führe das ClawTweaks-Setup aus oder installiere {1} über den Link auf dieser Seite, und starte neu.	VERSION NON PRISE EN CHARGE : usbip {0} est installé, ClawTweaks a besoin de {1}. Les versions plus anciennes plantent l'appareil en écran bleu pendant que la manette virtuelle tourne, donc ClawTweaks ne la démarre pas. Lancez l'installation ClawTweaks, ou installez {1} via le lien sur cette page, puis redémarrez.	지원되지 않는 버전: usbip {0}이(가) 설치되어 있지만 ClawTweaks에는 {1}이(가) 필요합니다. 이전 버전은 가상 컨트롤러 실행 중 블루스크린을 일으키므로 ClawTweaks가 시작하지 않습니다. ClawTweaks 설치 프로그램을 실행하거나 이 페이지의 링크에서 {1}을(를) 설치한 뒤 재부팅하세요.	VERSIÓN NO COMPATIBLE: usbip {0} está instalado y ClawTweaks necesita {1}. Las versiones anteriores dan pantalla azul mientras corre el mando virtual, así que ClawTweaks no lo iniciará. Ejecuta el instalador de ClawTweaks o instala {1} desde el enlace de esta página y reinicia.					VERSIONE NON SUPPORTATA: è installato usbip {0}, ClawTweaks richiede {1}. Le versioni più vecchie mandano il dispositivo in schermata blu mentre il controller virtuale è attivo, quindi ClawTweaks non lo avvierà. Esegui il setup di ClawTweaks, oppure installa {1} dal link in questa pagina, e riavvia.	VERSÃO NÃO SUPORTADA: o usbip {0} está instalado, o ClawTweaks precisa de {1}. Versões mais antigas travam o dispositivo com tela azul enquanto o controle virtual roda, então o ClawTweaks não o iniciará. Execute o setup do ClawTweaks ou instale {1} pelo link nesta página e reinicie.		NIEOBSŁUGIWANA WERSJA: zainstalowano usbip {0}, ClawTweaks wymaga {1}. Starsze wersje powodują niebieski ekran, gdy działa wirtualny kontroler, więc ClawTweaks go nie uruchomi. Uruchom instalator ClawTweaks lub zainstaluj {1} z linku na tej stronie i zrestartuj.
UNSUPPORTED VERSION: usbip {0} is installed, ClawTweaks needs {1}. Uninstall usbip, install {1} from the link on this page, and reboot.	NICHT UNTERSTÜTZTE VERSION: usbip {0} ist installiert, ClawTweaks braucht {1}. usbip deinstallieren, {1} über den Link auf dieser Seite installieren und neu starten.	VERSION NON PRISE EN CHARGE : usbip {0} est installé, ClawTweaks a besoin de {1}. Désinstallez usbip, installez {1} via le lien sur cette page, puis redémarrez.	지원되지 않는 버전: usbip {0}이(가) 설치되어 있지만 ClawTweaks에는 {1}이(가) 필요합니다. usbip을 제거하고 이 페이지의 링크에서 {1}을(를) 설치한 뒤 재부팅하세요.	VERSIÓN NO COMPATIBLE: usbip {0} está instalado y ClawTweaks necesita {1}. Desinstala usbip, instala {1} desde el enlace de esta página y reinicia.					VERSIONE NON SUPPORTATA: è installato usbip {0}, ClawTweaks richiede {1}. Disinstalla usbip, installa {1} dal link in questa pagina e riavvia.	VERSÃO NÃO SUPORTADA: o usbip {0} está instalado, o ClawTweaks precisa de {1}. Desinstale o usbip, instale {1} pelo link nesta página e reinicie.		NIEOBSŁUGIWANA WERSJA: zainstalowano usbip {0}, ClawTweaks wymaga {1}. Odinstaluj usbip, zainstaluj {1} z linku na tej stronie i zrestartuj.
Update		Mise à jour	업데이트	Actualizar					Aggiorna	Atualizar		Aktualizuj
{0} MHz												
{0} Hz												
{0} fps (Intel)												
{0} fps (RTSS)												
Aggressive	Aggressiv	Agressif	적극	Agresivo					Aggressivo	Agressivo		Agresywny
Efficient Enabled	Effizient aktiviert	Efficace activé	효율적 사용	Eficiente activado					Efficiente attivo	Eficiente ativado		Wydajny włączony
Efficient Aggressive	Effizient aggressiv	Efficace agressif	효율적 적극	Eficiente agresivo					Efficiente aggressivo	Eficiente agressivo		Wydajny agresywny
Aggressive At Guaranteed	Aggressiv bei Garantie	Agressif au garanti	보장 시 적극	Agresivo en garantizado					Aggressivo al garantito	Agressivo no garantido		Agresywny przy gwarantowanym
Efficient Aggressive At Guaranteed	Effizient aggressiv bei Garantie	Efficace agressif au garanti	보장 시 효율적 적극	Eficiente agresivo en garantizado					Efficiente aggressivo al garantito	Eficiente agressivo no garantido		Wydajny agresywny przy gwarantowanym
Mode {0}	Modus {0}		모드 {0}	Modo {0}					Modalità {0}	Modo {0}		Tryb {0}
LS Click	LS-Klick	Clic LS	LS 클릭	Clic LS					Clic LS	Clique LS		Klik LS
LS Up	LS hoch	LS haut	LS 위	LS arriba					LS su	LS cima		LS góra
LS Down	LS runter	LS bas	LS 아래	LS abajo					LS giù	LS baixo		LS dół
LS Left	LS links	LS gauche	LS 왼쪽	LS izquierda					LS sinistra	LS esquerda		LS lewo
LS Right	LS rechts	LS droite	LS 오른쪽	LS derecha					LS destra	LS direita		LS prawo
RS Click	RS-Klick	Clic RS	RS 클릭	Clic RS					Clic RS	Clique RS		Klik RS
RS Up	RS hoch	RS haut	RS 위	RS arriba					RS su	RS cima		RS góra
RS Down	RS runter	RS bas	RS 아래	RS abajo					RS giù	RS baixo		RS dół
RS Left	RS links	RS gauche	RS 왼쪽	RS izquierda					RS sinistra	RS esquerda		RS lewo
RS Right	RS rechts	RS droite	RS 오른쪽	RS derecha					RS destra	RS direita		RS prawo
